Date : 2023-11-29 23:36:49
Directory : d:\C_Learning_Code\Data Construction
Total : 78 files,  -1811 codes, -19 comments, -150 blanks, all -1980 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |          1 |        -69 |        -21 |        -16 |       -106 |
| C        |         77 |     -1,742 |          2 |       -134 |     -1,874 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                              |         78 |     -1,811 |        -19 |       -150 |     -1,980 |
| ..                                                             |         72 |     -2,276 |        -51 |       -223 |     -2,550 |
| ..\Problem List                                                |         72 |     -2,276 |        -51 |       -223 |     -2,550 |
| ..\Problem List (Files)                                        |          1 |        -69 |        -21 |        -16 |       -106 |
| ..\Problem List\10-x                                           |         10 |       -273 |          0 |        -34 |       -307 |
| ..\Problem List\11-x                                           |          7 |       -198 |         -1 |        -20 |       -219 |
| ..\Problem List\4-x                                            |         11 |       -211 |        -24 |        -21 |       -256 |
| ..\Problem List\5-x                                            |          7 |       -227 |          0 |        -28 |       -255 |
| ..\Problem List\6-x                                            |          8 |       -280 |          0 |        -20 |       -300 |
| ..\Problem List\7-x                                            |          8 |       -411 |         -3 |        -19 |       -433 |
| ..\Problem List\8-x                                            |         11 |       -346 |          0 |        -29 |       -375 |
| ..\Problem List\9-x                                            |          6 |       -179 |          0 |        -24 |       -203 |
| ..\Problem List\Personnal-Solve                                |          3 |        -82 |         -2 |        -12 |        -96 |
| 1.0                                                            |          3 |        149 |         15 |         42 |        206 |
| 2.0                                                            |          2 |        251 |         12 |         24 |        287 |
| 3.0                                                            |          1 |         65 |          5 |          7 |         77 |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                       | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\C_Learning_Code\Data Construction\1.0\1-1.c                 | C        |         43 |          0 |         14 |         57 |
| d:\C_Learning_Code\Data Construction\1.0\1-2.c                 | C        |         70 |          8 |         14 |         92 |
| d:\C_Learning_Code\Data Construction\1.0\stack_standard.c      | C        |         36 |          7 |         14 |         57 |
| d:\C_Learning_Code\Data Construction\2.0\2-1.c                 | C        |        138 |          6 |         18 |        162 |
| d:\C_Learning_Code\Data Construction\2.0\2-2.c                 | C        |        113 |          6 |          6 |        125 |
| d:\C_Learning_Code\Data Construction\3.0\3-1.c                 | C        |         65 |          5 |          7 |         77 |
| d:\C_Learning_Code\Problem List\10-x\10-1.c                    | C        |        -45 |          0 |         -4 |        -49 |
| d:\C_Learning_Code\Problem List\10-x\10-10.c                   | C        |        -22 |          0 |         -4 |        -26 |
| d:\C_Learning_Code\Problem List\10-x\10-2.c                    | C        |        -29 |          0 |         -4 |        -33 |
| d:\C_Learning_Code\Problem List\10-x\10-3.c                    | C        |        -18 |          0 |         -3 |        -21 |
