"filename", "language", "C++", "C", "Markdown", "JSON", "comment", "blank", "total"
"d:\C_Learning_Code\Data Construction\1.0\1-1.c", "C", 0, -43, 0, 0, 0, -14, -57
"d:\C_Learning_Code\Data Construction\1.0\1-2.c", "C", 0, -70, 0, 0, -8, -14, -92
"d:\C_Learning_Code\Data Construction\1.0\stack_standard.c", "C", 0, -36, 0, 0, -7, -14, -57
"d:\C_Learning_Code\Data Construction\2.0\2-1.c", "C", 0, -138, 0, 0, -6, -18, -162
"d:\C_Learning_Code\Data Construction\2.0\2-2.c", "C", 0, -113, 0, 0, -6, -6, -125
"d:\C_Learning_Code\Data Construction\3.0\3-1.c", "C", 0, -65, 0, 0, -5, -7, -77
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-40\details.md", "Markdown", 0, 0, 81, 0, 0, 6, 87
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-40\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 6, 15
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-40\diff.md", "Markdown", 0, 0, 12, 0, 0, 7, 19
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-40\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-40\results.md", "Markdown", 0, 0, 25, 0, 0, 7, 32
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-49\details.md", "Markdown", 0, 0, 15, 0, 0, 6, 21
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-49\diff-details.md", "Markdown", 0, 0, 87, 0, 0, 6, 93
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-49\diff.md", "Markdown", 0, 0, 30, 0, 0, 7, 37
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-49\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\C_Learning_Code\JettyCoffee\.VSCodeCounter\2023-11-29_23-36-49\results.md", "Markdown", 0, 0, 17, 0, 0, 7, 24
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-1.c", "C", 0, 45, 0, 0, 0, 4, 49
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-10.c", "C", 0, 22, 0, 0, 0, 4, 26
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-2.c", "C", 0, 29, 0, 0, 0, 4, 33
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-3.c", "C", 0, 18, 0, 0, 0, 3, 21
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-4.c", "C", 0, 35, 0, 0, 0, 4, 39
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-5.c", "C", 0, 23, 0, 0, 0, 3, 26
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-6.c", "C", 0, 22, 0, 0, 0, 3, 25
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-7.c", "C", 0, 23, 0, 0, 0, 3, 26
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-8.c", "C", 0, 23, 0, 0, 0, 3, 26
"d:\C_Learning_Code\JettyCoffee\C-Language Study\10-x\10-9.c", "C", 0, 33, 0, 0, 0, 3, 36
"d:\C_Learning_Code\JettyCoffee\C-Language Study\11-x\11-1.c", "C", 0, 15, 0, 0, 0, 1, 16
"d:\C_Learning_Code\JettyCoffee\C-Language Study\11-x\11-2.c", "C", 0, 22, 0, 0, 0, 1, 23
"d:\C_Learning_Code\JettyCoffee\C-Language Study\11-x\11-3.c", "C", 0, 31, 0, 0, 0, 3, 34
"d:\C_Learning_Code\JettyCoffee\C-Language Study\11-x\11-4.c", "C", 0, 18, 0, 0, 1, 3, 22
"d:\C_Learning_Code\JettyCoffee\C-Language Study\11-x\11-5.c", "C", 0, 41, 0, 0, 0, 3, 44
