"filename", "language", "Markdown", "C", "C++", "comment", "blank", "total"
"d:\Code of JettyCoffee\C-Language Study\10-x\10-1.c", "C", 0, -45, 0, 0, -4, -49
"d:\Code of JettyCoffee\C-Language Study\10-x\10-10.c", "C", 0, -22, 0, 0, -4, -26
"d:\Code of JettyCoffee\C-Language Study\10-x\10-2.c", "C", 0, -29, 0, 0, -4, -33
"d:\Code of JettyCoffee\C-Language Study\10-x\10-3.c", "C", 0, -18, 0, 0, -3, -21
"d:\Code of JettyCoffee\C-Language Study\10-x\10-4.c", "C", 0, -35, 0, 0, -4, -39
"d:\Code of JettyCoffee\C-Language Study\10-x\10-5.c", "C", 0, -23, 0, 0, -3, -26
"d:\Code of JettyCoffee\C-Language Study\10-x\10-6.c", "C", 0, -22, 0, 0, -3, -25
"d:\Code of JettyCoffee\C-Language Study\10-x\10-7.c", "C", 0, -23, 0, 0, -3, -26
"d:\Code of JettyCoffee\C-Language Study\10-x\10-8.c", "C", 0, -23, 0, 0, -3, -26
"d:\Code of JettyCoffee\C-Language Study\10-x\10-9.c", "C", 0, -33, 0, 0, -3, -36
"d:\Code of JettyCoffee\C-Language Study\11-x\11-1.c", "C", 0, -15, 0, 0, -1, -16
"d:\Code of JettyCoffee\C-Language Study\11-x\11-2.c", "C", 0, -22, 0, 0, -1, -23
"d:\Code of JettyCoffee\C-Language Study\11-x\11-3.c", "C", 0, -31, 0, 0, -3, -34
"d:\Code of JettyCoffee\C-Language Study\11-x\11-4.c", "C", 0, -18, 0, -1, -3, -22
"d:\Code of JettyCoffee\C-Language Study\11-x\11-5.c", "C", 0, -41, 0, 0, -3, -44
"d:\Code of JettyCoffee\C-Language Study\11-x\11-6 copy.c", "C", 0, -19, 0, 0, -4, -23
"d:\Code of JettyCoffee\C-Language Study\11-x\11-6.c", "C", 0, -52, 0, 0, -5, -57
"d:\Code of JettyCoffee\C-Language Study\4-x\4-1.c", "C", 0, -17, 0, 0, -1, -18
"d:\Code of JettyCoffee\C-Language Study\4-x\4-10.c", "C", 0, -11, 0, 0, -1, -12
"d:\Code of JettyCoffee\C-Language Study\4-x\4-11.c", "C", 0, -24, 0, 0, -1, -25
"d:\Code of JettyCoffee\C-Language Study\4-x\4-2.c", "C", 0, -25, 0, 0, -3, -28
"d:\Code of JettyCoffee\C-Language Study\4-x\4-3.c", "C", 0, -17, 0, 0, -3, -20
"d:\Code of JettyCoffee\C-Language Study\4-x\4-4.c", "C", 0, -12, 0, 0, -1, -13
"d:\Code of JettyCoffee\C-Language Study\4-x\4-5.c", "C", 0, -20, 0, 0, -5, -25
"d:\Code of JettyCoffee\C-Language Study\4-x\4-6.c", "C", 0, -34, 0, 0, 0, -34
"d:\Code of JettyCoffee\C-Language Study\4-x\4-7.c", "C", 0, -26, 0, 0, -4, -30
"d:\Code of JettyCoffee\C-Language Study\4-x\4-8.c", "C", 0, -13, 0, 0, -1, -14
