"filename", "language", "Markdown", "C", "comment", "blank", "total"
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\Nqueen_question.c", "C", 0, 53, 12, 5, 70
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\maze.c", "C", 0, 105, 24, 9, 138
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\plus_set.c", "C", 0, 50, 11, 18, 79
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\snowing_long.c", "C", 0, 51, 0, 4, 55
"d:\Code-of-JettyCoffee\Data Construction\DFS&BFS\subset_counter.c", "C", 0, 31, 3, 4, 38
"d:\Code-of-JettyCoffee\Data Construction\List\Josephus_quesetion.c", "C", 0, 65, 18, 7, 90
"d:\Code-of-JettyCoffee\Data Construction\Queue\closest_letter.c", "C", 0, 113, 20, 6, 139
"d:\Code-of-JettyCoffee\Data Construction\Queue\standard_queue_always.c", "C", 0, 138, 30, 18, 186
"d:\Code-of-JettyCoffee\Data Construction\Stack\match_brackets.c", "C", 0, 70, 20, 14, 104
"d:\Code-of-JettyCoffee\Data Construction\Stack\string_stack.c", "C", 0, 43, 11, 14, 68
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-1.c", "C", 0, 45, 0, 4, 49
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-10.c", "C", 0, 22, 0, 4, 26
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-2.c", "C", 0, 29, 0, 4, 33
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-3.c", "C", 0, 18, 0, 3, 21
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-4.c", "C", 0, 35, 0, 4, 39
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-5.c", "C", 0, 23, 0, 3, 26
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-6.c", "C", 0, 22, 0, 3, 25
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-7.c", "C", 0, 23, 0, 3, 26
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-8.c", "C", 0, 23, 0, 3, 26
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 10\10-9.c", "C", 0, 33, 0, 3, 36
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 11\11-1.c", "C", 0, 15, 0, 1, 16
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 11\11-2.c", "C", 0, 22, 0, 1, 23
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 11\11-3.c", "C", 0, 31, 0, 3, 34
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 11\11-4.c", "C", 0, 18, 1, 3, 22
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 11\11-5.c", "C", 0, 41, 0, 3, 44
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 11\11-6 copy.c", "C", 0, 19, 0, 4, 23
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 11\11-6.c", "C", 0, 52, 0, 5, 57
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-1.c", "C", 0, 17, 0, 1, 18
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-10.c", "C", 0, 11, 0, 1, 12
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-11.c", "C", 0, 24, 0, 1, 25
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-2.c", "C", 0, 25, 0, 3, 28
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-3.c", "C", 0, 17, 0, 3, 20
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-4.c", "C", 0, 12, 0, 1, 13
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-5.c", "C", 0, 20, 0, 5, 25
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-6.c", "C", 0, 34, 0, 0, 34
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-7.c", "C", 0, 26, 0, 4, 30
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-8.c", "C", 0, 13, 0, 1, 14
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 4\4-9.c", "C", 0, 12, 24, 1, 37
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 5\5-1.c", "C", 0, 24, 0, 4, 28
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 5\5-2.c", "C", 0, 40, 0, 4, 44
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 5\5-3.c", "C", 0, 15, 0, 3, 18
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 5\5-4.c", "C", 0, 37, 0, 4, 41
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 5\5-5.c", "C", 0, 26, 0, 4, 30
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 5\5-6.c", "C", 0, 48, 0, 5, 53
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 5\5-7.c", "C", 0, 37, 0, 4, 41
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-1.c", "C", 0, 42, 0, 3, 45
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-2.c", "C", 0, 12, 0, 1, 13
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-3.c", "C", 0, 22, 0, 1, 23
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-4.c", "C", 0, 52, 0, 3, 55
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-5.c", "C", 0, 45, 0, 4, 49
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-6.c", "C", 0, 37, 0, 3, 40
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-7.c", "C", 0, 43, 0, 3, 46
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 6\6-8.c", "C", 0, 27, 0, 2, 29
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-1.c", "C", 0, 30, 0, 2, 32
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-2.c", "C", 0, 33, 3, 7, 43
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-3.c", "C", 0, 27, 0, 1, 28
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-4.c", "C", 0, 28, 0, 1, 29
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-5.c", "C", 0, 51, 0, 2, 53
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-6.c", "C", 0, 19, 0, 2, 21
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-7.c", "C", 0, 121, 0, 2, 123
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 7\7-8.c", "C", 0, 102, 0, 2, 104
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-1.c", "C", 0, 16, 0, 3, 19
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-10.c", "C", 0, 37, 0, 1, 38
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-11.c", "C", 0, 37, 0, 1, 38
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-2.c", "C", 0, 26, 0, 3, 29
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-3.c", "C", 0, 30, 0, 3, 33
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-4.c", "C", 0, 43, 0, 3, 46
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-5.c", "C", 0, 35, 0, 3, 38
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-6.c", "C", 0, 25, 0, 3, 28
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-7.c", "C", 0, 31, 0, 5, 36
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-8.c", "C", 0, 20, 0, 1, 21
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 8\8-9.c", "C", 0, 46, 0, 3, 49
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 9\9-1.c", "C", 0, 23, 0, 6, 29
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 9\9-2.c", "C", 0, 22, 0, 3, 25
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 9\9-3.c", "C", 0, 21, 0, 3, 24
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 9\9-4.c", "C", 0, 29, 0, 2, 31
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 9\9-5.c", "C", 0, 35, 0, 3, 38
"d:\Code-of-JettyCoffee\Lang_C Study\Chapter 9\9-6.c", "C", 0, 49, 0, 7, 56
"d:\Code-of-JettyCoffee\Lang_C Study\Personnal-Solve\Description.c", "C", 0, 20, 0, 4, 24
