id,longitude,latitude
15,121.01153,31.119373
113,121.018313,31.18934
34,121.026538,30.848163
9,121.044195,31.169017
120,121.056632,30.925491
85,121.07036,31.161175
96,121.09771,31.367386
144,121.115072,31.422618
58,121.122453,30.796111
56,121.129182,30.779365
122,121.136314,30.904988
115,121.150804,30.761565
129,121.151753,30.720122
73,121.166544,30.941818
32,121.177755,31.374243
10,121.180603,31.457117
90,121.181244,31.081683
39,121.18344,30.708502
123,121.19401,30.843966
88,121.201006,31.264953
27,121.202225,30.982619
78,121.203249,31.217027
101,121.203632,31.366245
137,121.206527,30.971423
132,121.214498,31.304256
67,121.216196,30.825378
61,121.221889,30.968298
80,121.227999,30.830482
89,121.232747,31.228326
2,121.239834,30.701896
14,121.24495,31.21672
81,121.250736,30.921233
111,121.254107,31.255919
57,121.260271,30.953148
13,121.261957,30.806377
7,121.27815,31.469904
33,121.286984,31.393599
139,121.294192,30.998872
124,121.297564,30.867453
141,121.305384,31.226563
62,121.325697,30.85466
109,121.334495,30.768354
131,121.34925,31.369128
102,121.354605,31.173467
136,121.36156,31.034315
6,121.364932,31.280189
143,121.369032,31.048357
28,121.369478,31.231668
75,121.374877,31.4312
87,121.380012,31.266878
26,121.398063,31.012073
128,121.399782,31.50385
84,121.401044,31.445642
134,121.43976,31.398741
149,121.462811,31.419491
59,121.482679,30.99446
99,121.496526,31.090663
118,121.500574,30.827023
55,121.513921,31.426151
63,121.531242,31.318555
138,121.532108,31.143908
106,121.539094,30.872877
110,121.545417,30.858213
51,121.553626,31.109702
77,121.556801,30.86233
79,121.559214,31.475585
48,121.573934,31.443144
150,121.575257,30.950911
74,121.575721,30.752134
108,121.578653,31.474297
103,121.592807,30.736836
71,121.597366,31.525013
65,121.600233,31.022661
107,121.609558,30.872501
37,121.617008,31.528244
82,121.619615,30.791609
25,121.622344,31.417326
50,121.626516,30.80275
45,121.631648,31.294223
97,121.652432,30.708393
41,121.657757,31.510725
114,121.662646,31.119076
140,121.662954,31.506281
105,121.66525,31.209813
1,121.666186,31.219196
3,121.666987,31.334619
53,121.667375,31.36854
70,121.669685,30.977954
18,121.670994,31.15843
40,121.698913,31.325097
98,121.700511,30.824105
100,121.706961,30.99455
133,121.709038,30.825218
104,121.71496,31.322477
47,121.717988,31.068261
11,121.739946,31.482291
92,121.741439,30.789395
94,121.750173,31.285761
35,121.756241,31.207238
68,121.775868,30.867272
44,121.811108,30.885326
64,121.836707,31.444558
60,121.839591,31.422872
66,121.871854,31.005984
54,121.872424,31.086747
42,121.891632,31.129843
116,121.898451,31.437787
43,121.912442,31.104901
8,121.922048,31.114319
130,121.928936,31.053459
36,121.934302,31.267788
142,121.942361,30.898059
22,121.94738,30.863802
72,121.948347,30.790989
19,121.956509,31.50191
38,121.964695,31.360724
145,121.966199,31.36821
5,121.975935,31.064743
49,121.988715,31.184581
121,121.98894,31.426637
69,121.990219,31.377201
146,122.00404,30.793689
119,122.004062,30.918751
24,122.005752,31.316252
12,122.007794,31.146617
76,122.023014,31.283761
52,122.036174,31.044462
21,122.04314,31.378382
126,122.052512,31.098328
147,122.05723,31.344853
31,122.058171,30.932066
127,122.064073,31.436078
23,122.078614,31.210362
93,122.091104,31.392127
